pathway,pval,padj,log2err,ES,NES,size,leadingEdge,Time,type
common_ess,2.14428652359924e-17,3.21642978539886e-17,1.07686819261983,-0.36011157906958,-1.85907812623119,959,,6 Hour,RPMI8226
mm_context,0.695625193918709,0.695625193918709,0.0268409066484514,0.201693447871855,0.895063672474304,106,,6 Hour,RPMI8226
top,4.21408360755714e-40,1.26422508226714e-39,1.64704014100292,0.430290098919896,2.43487783924352,923,,6 Hour,RPMI8226
common_ess,1.59074746443634e-19,2.38612119665451e-19,1.14219120216838,-0.373313150171678,-1.87605010859607,959,,3 Hour,RPMI8226
mm_context,0.0224530319230182,0.0224530319230182,0.11831785640414,0.383043102420056,1.41353316351025,106,,3 Hour,RPMI8226
top,5.72163760410204e-37,1.71649128123061e-36,1.5829282179456,0.50195134894156,2.27247679292141,923,,3 Hour,RPMI8226
common_ess,NA,NA,NA,0.110210754740942,NA,959,,24 Hour,RPMI8226
mm_context,0.661458333333333,0.661458333333333,0.12745704201113,0.179539439467939,0.934962527392944,106,,24 Hour,RPMI8226
top,NA,NA,NA,0.242754445228453,NA,923,,24 Hour,RPMI8226
common_ess,0.999500049995001,0.999500049995001,0.000322660960096746,-0.212359555865036,-0.716981791323811,959,,1 Hour,RPMI8226
mm_context,0.835647159333618,0.999500049995001,0.00760790059082561,-0.254901665574621,-0.790167522563531,106,,1 Hour,RPMI8226
top,0.909109089091091,0.999500049995001,0.00456171187782527,-0.261972111163324,-0.884086577433357,923,,1 Hour,RPMI8226
common_ess,0.000201337580854876,0.000302006371282313,0.518848077743792,-0.259261948040006,-1.33329406237876,959,,6 Hour,PBMC
mm_context,0.628110289172831,0.628110289172831,0.0449612426330254,0.178460603775443,0.934022308807678,106,,6 Hour,PBMC
top,1.11023002967857e-48,3.3306900890357e-48,1.82023946954892,0.386272906913992,2.55209534720024,923,,6 Hour,PBMC
common_ess,7.1674365251937e-10,1.43348730503874e-09,0.801215574617779,-0.320544834562767,-1.5651085921742,959,,3 Hour,PBMC
mm_context,0.655265526552655,0.655265526552655,0.0515059350751614,0.17302897572424,0.924468780601094,106,,3 Hour,PBMC
top,NA,NA,NA,0.389338933223622,NA,923,,3 Hour,PBMC
common_ess,0.994074520437883,0.994074520437883,0.00147170084236388,-0.153724249748705,-0.762397462590573,959,,24 Hour,PBMC
mm_context,0.462458471760797,0.693687707641196,0.0527683194655535,0.196522520955108,0.993084664613434,106,,24 Hour,PBMC
top,7.53657383941445e-27,2.26097215182434e-26,1.34223377296446,0.321763622032008,2.05948257261008,923,,24 Hour,PBMC
common_ess,8.98639141753614e-15,1.79727828350723e-14,0.986546283587582,-0.389340664461515,-1.62016846930414,959,,1 Hour,PBMC
mm_context,0.983377730420884,0.983377730420884,0.00417260018680071,-0.167983058791025,-0.625465862516382,106,,1 Hour,PBMC
top,NA,NA,NA,0.292223933456371,NA,923,,1 Hour,PBMC
common_ess,1,1,0,-0.128545776366715,-0.544644046911058,959,,6 Hour,MM1S
mm_context,0.000451107391675018,0.000902214783350036,0.49849310876659,0.327127660217178,1.659545092806,106,,6 Hour,MM1S
top,NA,NA,NA,0.487936309229422,NA,923,,6 Hour,MM1S
common_ess,0.0092990700929907,0.0092990700929907,0.149308206900753,-0.298215094120393,-1.20180204626814,959,,3 Hour,MM1S
mm_context,0.000160388094874699,0.000320776189749398,0.518848077743792,0.384490603226756,1.76909450399079,106,,3 Hour,MM1S
top,NA,NA,NA,0.568823395592317,NA,923,,3 Hour,MM1S
common_ess,NA,NA,NA,0.460744335667961,NA,959,,24 Hour,MM1S
mm_context,0.00807602498851703,0.00807602498851703,0.380730400722792,0.291115173216702,1.43143383942205,106,,24 Hour,MM1S
top,NA,NA,NA,0.167052978080845,NA,923,,24 Hour,MM1S
common_ess,1,1,0.00309492206035619,0.0933685170098209,0.403450912959568,959,,1 Hour,MM1S
mm_context,0.0018210088608516,0.0027315132912774,0.45505986738723,0.452739640610168,1.62199234805787,106,,1 Hour,MM1S
top,2.73623981565985e-26,8.20871944697955e-26,1.32671609800481,0.47045615511015,2.0306958617004,923,,1 Hour,MM1S
